# 微明领域词库：医学，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
生物反馈法	sheng wu fan kui fa	2
生物反馈疗法	sheng wu fan kui liao fa	4
生物安全柜	sheng wu an quan gui	11
生物性传播	sheng wu xing chuan bo	3
生物技术制药	sheng wu ji shu zhi yao	5
生物敷料	sheng wu fu liao	1
生物材料学	sheng wu cai liao xue	11
生物等效性	sheng wu deng xiao xing	35
生物素缺乏	sheng wu su que fa	11
生物节律	sheng wu jie lv	35
生物药剂学	sheng wu yao ji xue	9
生物转化	sheng wu zhuan hua	49
生物陶瓷	sheng wu tao ci	7
生狼毒	sheng lang du	1
生理反射	sheng li fan she	4
生理心理学	sheng li xin li xue	45
生理性飞蚊症	sheng li xing fei wen zheng	1
生理氯化钠溶液	sheng li lv hua na rong ye	3
生石膏	sheng shi gao	9
生精上皮	sheng jing shang pi	4
生精细胞	sheng jing xi bao	3
生精胶囊	sheng jing jiao nang	4
生肌玉红膏	sheng ji yu hong gao	4
生脉	sheng mai	6
生脉散	sheng mai san	3
生脉注射液	sheng mai zhu she ye	1
生脉胶囊	sheng mai jiao nang	1
生脉饮	sheng mai yin	2
生脉饮口服液	sheng mai yin kou fu ye	4
生蒲黄	sheng pu huang	4
生薏米	sheng yi mi	2
生长抑素	sheng zhang yi su	33
生长期脱发	sheng zhang qi tuo fa	4
生长激素缺乏症	sheng zhang ji su que fa zheng	11
生马钱子	sheng ma qian zi	1
用药安全	yong yao an quan	13
田七痛经胶囊	tian qi tong jing jiao nang	2
田七花叶颗粒	tian qi hua ye ke li	2
田七补丸	tian qi bu wan	4
田基黄	tian ji huang	5
甲卡西酮	jia ka xi tong	37
甲周炎	jia zhou yan	2
甲地孕酮	jia di yun tong	7
甲型副伤寒	jia xing fu shang han	2
甲型病毒性肝炎	jia xing bing du xing gan yan	7
甲型肝炎减毒活疫苗	jia xing gan yan jian du huo yi miao	4
甲型肝炎灭活疫苗	jia xing gan yan mie huo yi miao	1
甲型肝炎病毒	jia xing gan yan bing du	11
甲基丙二酸尿症	jia ji bing er suan niao zheng	3
甲基丙烯酸酯	jia ji bing xi suan zhi	19
甲基吡咯烷酮	jia ji bi luo wan tong	23
甲基多巴	jia ji duo ba	22
甲基多巴片	jia ji duo ba pian	3
甲基己胺	jia ji ji an	16
甲基睾丸素	jia ji gao wan su	1
甲基睾丸酮	jia ji gao wan tong	1
甲基硫氧嘧啶	jia ji liu yang mi ding	3
甲基纤维素	jia ji xian wei su	9
甲基组氨酸	jia ji zu an suan	2
甲基苄肼	jia ji bian jing	3
甲基苯丙氨酸	jia ji ben bing an suan	2
甲基麻黄碱	jia ji ma huang jian	4
甲基黄嘌呤	jia ji huang piao ling	15
甲壳蓝蛋白	jia qiao lan dan bai	1
甲巯咪唑	jia qiu mi zuo	20
甲巯咪唑片	jia qiu mi zuo pian	7
甲床	jia chuang	30
甲强龙	jia qiang long	3
甲氟喹	jia fu kui	17
甲氧氯普胺片	jia yang lv pu an pian	2
甲氧苄啶	jia yang bian ding	46
甲氨喋呤	jia an die ling	5
甲氨蝶呤	jia an die ling	31
甲氨蝶呤片	jia an die ling pian	4
甲氰咪胍	jia qing mi gua	3
甲泼尼龙	jia po ni long	9
甲泼尼龙片	jia po ni long pian	2
甲状	jia zhuang	4
甲状旁腺	jia zhuang pang xian	33
甲状旁腺功能亢进	jia zhuang pang xian gong neng kang jin	9
甲状旁腺功能减退症	jia zhuang pang xian gong neng jian tui zheng	3
甲状旁腺机能减退	jia zhuang pang xian ji neng jian tui	1
甲状旁腺激素	jia zhuang pang xian ji su	28
甲状腺上动脉	jia zhuang xian shang dong mai	3
甲状腺切除术	jia zhuang xian qie chu shu	17
甲状腺功能减退	jia zhuang xian gong neng jian tui	49
甲状腺危象	jia zhuang xian wei xiang	11
甲状腺囊肿	jia zhuang xian nang zhong	2
甲状腺恶性肿瘤	jia zhuang xian e xing zhong liu	3
甲状腺次全切除术	jia zhuang xian ci quan qie chu shu	2
甲状腺片	jia zhuang xian pian	1
甲状腺球蛋白	jia zhuang xian qiu dan bai	31
甲状腺球蛋白抗体	jia zhuang xian qiu dan bai kang ti	10
甲状腺病	jia zhuang xian bing	2
甲状腺粉	jia zhuang xian fen	3
甲状腺结节	jia zhuang xian jie jie	24
甲状腺腺瘤	jia zhuang xian xian liu	4
甲状腺钙化	jia zhuang xian gai hua	3
甲状舌管囊肿	jia zhuang she guan nang zhong	3
甲状软骨	jia zhuang ruan gu	41
甲癣	jia xuan	27
甲睾酮	jia gao tong	28
甲睾酮片	jia gao tong pian	2
甲砜霉素	jia feng mei su	36
甲砜霉素肠溶片	jia feng mei su chang rong pian	3
甲砜霉素胶囊	jia feng mei su jiao nang	5
甲硝唑口颊片	jia xiao zuo kou jia pian	2
甲硝唑含漱液	jia xiao zuo han shu ye	2
甲硝唑棒	jia xiao zuo bang	3
甲硝唑注射液	jia xiao zuo zhu she ye	4
甲硝唑溶液	jia xiao zuo rong ye	3
甲硝唑片	jia xiao zuo pian	6
甲硝唑缓释片	jia xiao zuo huan shi pian	3
甲硝唑胶囊	jia xiao zuo jiao nang	3
甲硝唑芬布芬胶囊	jia xiao zuo fen bu fen jiao nang	3
甲硝唑葡萄糖注射液	jia xiao zuo pu tao tang zhu she ye	2
甲硝唑阴道泡腾片	jia xiao zuo yin dao pao teng pian	3
甲硝唑霜	jia xiao zuo shuang	2
甲磺酸伊马替尼	jia huang suan yi ma ti ni	3
甲磺酸培氟沙星	jia huang suan pei fu sha xing	3
甲磺酸帕珠沙星	jia huang suan pa zhu sha xing	4
甲磺酸帕珠沙星注射液	jia huang suan pa zhu sha xing zhu she ye	2
甲磺酸酚妥拉明	jia huang suan fen tuo la ming	3
甲磺酸酚妥拉明分散片	jia huang suan fen tuo la ming fen san pian	2
甲磺酸酚妥拉明注射液	jia huang suan fen tuo la ming zhu she ye	4
甲福明	jia fu ming	13
甲紫	jia zi	2
甲羟孕酮	jia qiang yun tong	3
甲羟孕酮片	jia qiang yun tong pian	3
甲肝减毒活疫苗	jia gan jian du huo yi miao	7
甲肝疫苗	jia gan yi miao	6
甲胎蛋白	jia tai dan bai	14
甲胺磷	jia an lin	13
甲芬那酸	jia fen na suan	15
甲苯中毒	jia ben zhong du	1
甲苯咪唑	jia ben mi zuo	38
甲苯咪唑咀嚼片	jia ben mi zuo ju jue pian	3
甲苯磺丁脲	jia ben huang ding niao	8
甲苯磺丁脲片	jia ben huang ding niao pian	3
甲苯磺酸妥舒沙星片	jia ben huang suan tuo shu sha xing pian	2
甲苯达唑	jia ben da zuo	1
甲营养不良	jia ying yang bu liang	1
甲酚皂溶液	jia fen zao rong ye	1
甲醇中毒	jia chun zhong du	23
甲醛溶液	jia quan rong ye	18
甲钴胺	jia gu an	9
甲钴胺片	jia gu an pian	3
甲钴胺胶囊	jia gu an jiao nang	3
申脉	shen mai	2
电休克	dian xiu ke	16
电休克治疗	dian xiu ke zhi liao	12
电休克疗法	dian xiu ke liao fa	10
电击伤	dian ji shang	8
电子染色	dian zi ran se	2
电子睡眠仪	dian zi shui mian yi	4
电子耳蜗植入术	dian zi er wo zhi ru shu	2
电工与电子技术	dian gong yu dian zi ji shu	2
电泳法	dian yong fa	14
电渗析	dian shen xi	20
电渗析法	dian shen xi fa	4
电灼术	dian zhuo shu	3
电烙术	dian lao shu	2
电烧伤	dian shao shang	3
电焊工尘肺	dian han gong chen fei	5
电疗法	dian liao fa	42
电磁流量计	dian ci liu liang ji	3
电离作用	dian li zuo yong	14
电突触	dian tu chu	19
电解质紊乱	dian jie zhi wen luan	24
电诊断	dian zhen duan	11
男宝胶囊	nan bao jiao nang	4
男性不育症	nan xing bu yu zheng	16
男性假两性畸形	nan xing jia liang xing ji xing	2
男性型秃发	nan xing xing tu fa	3
男性女性化	nan xing nv xing hua	1
男性尿道	nan xing niao dao	10
男性性功能障碍	nan xing xing gong neng zhang ai	11
男性更年期综合征	nan xing geng nian qi zong he zheng	5
男性更年期综合症	nan xing geng nian qi zong he zheng	3
甾类化合物	zai lei hua he wu	4
番木瓜碱	fan mu gua jian	1
番泻叶	fan xie ye	11
番石榴叶	fan shi liu ye	6
畸形学	ji xing xue	14
畸形性骨炎	ji xing xing gu yan	1
畸形足	ji xing zu	6
疏松结缔组织	shu song jie di zu zhi	25
疏痛安涂膜剂	shu tong an tu mo ji	3
疏血通	shu xue tong	5
疏血通注射液	shu xue tong zhu she ye	5
疏风再造丸	shu feng zai zao wan	2
疏风定痛丸	shu feng ding tong wan	4
疑病症	yi bing zheng	35
疖病	jie bing	4
疖病疫苗	jie bing yi miao	3
疖肿	jie zhong	16
疗癣卡西甫散	liao xuan ka xi fu san	4
疝修补术	shan xiu bu shu	15
疝内容物	shan nei rong wu	2
疝囊	shan nang	19
疝立消	shan li xiao	6
疣状痣	you zhuang zhi	3
疣状胃炎	you zhuang wei yan	1
疣状表皮发育不良	you zhuang biao pi fa yu bu liang	4
疤痕体质	ba hen ti zhi	1
疤痕增生	ba hen zeng sheng	2
疫情监测	yi qing jian ce	26
疫水	yi shui	3
疫源地	yi yuan di	10
疫源地消毒	yi yuan di xiao du	5
疫点	yi dian	17
疮疡	chuang yang	43
疰夏	zhu xia	7
疱疹性咽峡炎	pao zhen xing yan xia yan	4
疱疹性结膜炎	pao zhen xing jie mo yan	2
疱疹性脑膜炎	pao zhen xing nao mo yan	2
疱疹样皮炎	pao zhen yang pi yan	2
疲劳综合征	pi lao zong he zheng	12
疲劳骨折	pi lao gu zhe	2
疳病	gan bing	2
疼痛门诊	teng tong men zhen	3
疼痛难忍	teng tong nan ren	23
痄腮	zha sai	6
病原学	bing yuan xue	41
病原携带者	bing yuan xie dai zhe	12
病原生物学	bing yuan sheng wu xue	28
病因学	bing yin xue	46
病媒生物	bing mei sheng wu	11
病态人格	bing tai ren ge	5
病机	bing ji	9
病毒受体	bing du shou ti	3
病毒唑	bing du zuo	3
病毒性出血热	bing du xing chu xue re	31
病毒性咽炎	bing du xing yan yan	1
病毒性心肌炎	bing du xing xin ji yan	7
病毒性感冒	bing du xing gan mao	4
病毒性皮疹	bing du xing pi zhen	3
病毒性结膜炎	bing du xing jie mo yan	4
病毒性肠炎	bing du xing chang yan	5
病毒性胃肠炎	bing du xing wei chang yan	1
病毒性脑膜炎	bing du xing nao mo yan	23
病毒性角膜炎	bing du xing jiao mo yan	1
病毒抗体	bing du kang ti	34
病毒血症	bing du xue zheng	34
病毒载量	bing du zai liang	40
病毒遗传学	bing du yi chuan xue	1
病理反射	bing li fan she	2
病理学与病理生理学	bing li xue yu bing li sheng li xue	5
病理学基础	bing li xue ji chu	2
病理形态学	bing li xing tai xue	1
病理性偷窃	bing li xing tou qie	1
病理性赌博	bing li xing du bo	1
病理性骨折	bing li xing gu zhe	17
病理检验技术	bing li jian yan ji shu	3
病理解剖学	bing li jie pou xue	48
病理过程	bing li guo cheng	25
症状性癫痫	zheng zhuang xing dian xian	2
痉挛性偏瘫	jing luan xing pian tan	3
痉挛性截瘫	jing luan xing jie tan	5
痉挛性瘫痪	jing luan xing tan huan	3
痉挛性睑内翻	jing luan xing jian nei fan	3
痒点	yang dian	7
痒疹	yang zhen	9
痔环切术	zhi huan qie shu	3
痔疮栓	zhi chuang shuan	4
痔疮止血颗粒	zhi chuang zhi xue ke li	4
痔疮胶囊	zhi chuang jiao nang	2
痔疮膏	zhi chuang gao	1
痔疾洗液	zhi ji xi ye	2
痔血胶囊	zhi xue jiao nang	3
痕量元素	hen liang yuan su	14
痛如针刺	tong ru zhen ci	1
痛性痉挛	tong xing jing luan	4
痛泻要方	tong xie yao fang	1
痛经软膏	tong jing ruan gao	2
痛舒胶囊	tong shu jiao nang	3
痛觉过敏	tong jue guo min	16
痛阈	tong yu	7
痛风定片	tong feng ding pian	4
痛风性关节炎	tong feng xing guan jie yan	11
痛风性肾病	tong feng xing shen bing	4
痛风石	tong feng shi	23
痛风舒胶囊	tong feng shu jiao nang	4
痞满	pi man	7
痢特灵片	li te ling pian	3
痰厥	tan jue	4
痰咳净	tan ke jing	5
痰咳净片	tan ke jing pian	3
痰多	tan duo	14
痰浊中阻	tan zhuo zhong zu	3
痰湿	tan shi	5
痰热清	tan re qing	6
痰热清注射液	tan re qing zhu she ye	7
痰热证	tan re zheng	2
痰瘀互结证	tan yu hu jie zheng	2
痰迷心窍	tan mi xin qiao	2
痰饮	tan yin	34
痹病	bi bing	6
痹痛	bi tong	34
痹痛宁胶囊	bi tong ning jiao nang	4
痹证	bi zheng	9
痿躄	wei bi	2
瘀点	yu dian	46
瘀血阻络证	yu xue zu luo zheng	3
瘙痒病	sao yang bing	4
瘢痕体质	ban hen ti zhi	1
瘢痕性睑内翻	ban hen xing jian nei fan	2
瘢痕性脱发	ban hen xing tuo fa	1
瘢痕疙瘩	ban hen ge da	12
瘢痕癌	ban hen ai	4
瘢痕组织	ban hen zu zhi	27
瘤胃微生物	liu wei wei sheng wu	2
瘭疽	biao ju	1
瘿病	ying bing	1
癃闭	long bi	2
癃闭舒片	long bi shu pian	2
癃闭舒胶囊	long bi shu jiao nang	3
癌前病变	ai qian bing bian	34
癌性发热	ai xing fa re	3
癌胚抗原	ai pei kang yuan	15
癔症	yi zheng	20
癔症性精神病	yi zheng xing jing shen bing	5
癣病	xuan bing	4
癣药水	xuan yao shui	3
癣菌疹	xuan jun zhen	2
癫病	dian bing	2
癫痫大发作	dian xian da fa zuo	5
癫痫小发作	dian xian xiao fa zuo	2
癫痫性精神障碍	dian xian xing jing shen zhang ai	4
癫痫持续状态	dian xian chi xu zhuang tai	8
登革出血热	deng ge chu xue re	16
登革热病毒	deng ge re bing du	34
白内障囊内摘除术	bai nei zhang nang nei zhai chu shu	4
白内障囊外摘除术	bai nei zhang nang wai zhai chu shu	4
白凡士林	bai fan shi lin	1
白前	bai qian	6
白加黑	bai jia hei	5
白参	bai shen	27
白喉抗毒素	bai hou kang du su	21
白喉棒状杆菌	bai hou bang zhuang gan jun	12
白喉病	bai hou bing	10
白喉类毒素	bai hou lei du su	8
白垢	bai gou	3
白垩土	bai e tu	20
白垩色	bai e se	9
白头粉刺	bai tou fen ci	1
白头翁加甘草阿胶汤	bai tou weng jia gan cao e jiao tang	2
白头翁汤	bai tou weng tang	2
白屈菜	bai qu cai	47
白带净胶囊	bai dai jing jiao nang	2
白带异常	bai dai yi chang	8
白念珠菌	bai nian zhu jun	1
白扁豆	bai bian dou	10
白敬宇眼药	bai jing yu yan yao	2
白晕	bai yun	3
白术散	bai zhu san	2
白果内酯	bai guo nei zhi	12
白树油	bai shu you	3
白毛舌	bai mao she	4
白毛藤	bai mao teng	3
白消安	bai xiao an	25
白点病	bai dian bing	6
白癜风胶囊	bai dian feng jiao nang	5
白石清热颗粒	bai shi qing re ke li	2
白石英	bai shi ying	11
白破	bai po	6
白破疫苗	bai po yi miao	7
白纹伊蚊	bai wen yi wen	14
白线疝	bai xian shan	1
白细胞凝集素	bai xi bao ning ji su	1
白细胞增多	bai xi bao zeng duo	11
白细胞计数	bai xi bao ji shu	33
白细辛	bai xi xin	2
白脉软膏	bai mai ruan gao	2
白腻	bai ni	7
白舒非	bai shu fei	1
白色糠疹	bai se kang zhen	2
白色血栓	bai se xue shuan	6
白芍总苷胶囊	bai shao zong gan jiao nang	3
白芥子	bai jie zi	8
白芨	bai ji	46
白花油麻藤	bai hua you ma teng	2
白花蛇	bai hua she	31
白花蛇舌草	bai hua she she cao	19
白若杂纳	bai ruo za na	29
白茅根	bai mao gen	5
白莲洞公园	bai lian dong gong yuan	3
白蒺藜	bai ji li	3
白蔹	bai lian	15
白蔻	bai kou	9
白藤湖	bai teng hu	12
白虎加人参汤	bai hu jia ren shen tang	1
白虎汤	bai hu tang	11
白蚁巢	bai yi chao	16
白血病病毒	bai xue bing bing du	23
白豆蔻	bai dou kou	19
白通汤	bai tong tang	4
白附片	bai fu pian	1
白降丹	bai jiang dan	4
白首乌	bai shou wu	3
白鲜皮	bai xian pi	5
白鸽巢公园	bai ge chao gong yuan	38
百乐眠胶囊	bai le mian jiao nang	3
百令胶囊	bai ling jiao nang	5
百会	bai hui	8
百会穴	bai hui xue	6
百分等级	bai fen deng ji	9
百劳	bai lao	2
百合固金丸	bai he gu jin wan	3
百合固金汤	bai he gu jin tang	2
百咳静糖浆	bai ke jing tang jiang	2
百多邦	bai duo bang	4
百年乐	bai nian le	2
百日咳杆菌	bai ri ke gan jun	19
百日咳菌苗	bai ri ke jun miao	1
百服宁	bai fu ning	3
百消丹	bai xiao dan	3
百病不生	bai bing bu sheng	3
百癣夏塔热片	bai xuan xia ta re pian	3
百癣夏塔热胶囊	bai xuan xia ta re jiao nang	2
百白破	bai bai po	10
百白破三联疫苗	bai bai po san lian yi miao	3
百白破疫苗	bai bai po yi miao	30
百白破联合疫苗	bai bai po lian he yi miao	4
百秋李醇	bai qiu li chun	2
百草霜	bai cao shuang	4
百蕊胶囊	bai rui jiao nang	2
百蕊草	bai rui cao	48
百虫窝	bai chong wo	1
皂刺	zao ci	1
皂化值	zao hua zhi	6
皮下出血点	pi xia chu xue dian	2
皮下囊肿	pi xia nang zhong	4
皮下结节	pi xia jie jie	9
皮下血肿	pi xia xue zhong	2
皮亚杰学派	pi ya jie xue pai	2
皮内注射	pi nei zhu she	19
皮内痣	pi nei zhi	5
皮库	pi ku	5
皮康王	pi kang wang	5
皮样囊肿	pi yang nang zhong	5
皮水	pi shui	6
皮炎平软膏	pi yan ping ruan gao	4
皮炎平霜	pi yan ping shuang	4
皮炎洗剂	pi yan xi ji	3
皮炎芽生菌	pi yan ya sheng jun	1
皮特克恩岛	pi te ke en dao	2
皮瓣移植	pi ban yi zhi	7
皮瓣移植术	pi ban yi zhi shu	5
皮痛	pi tong	2
皮痹	pi bi	2
皮管	pi guan	9
皮纹	pi wen	32
皮纹学	pi wen xue	2
皮肤免疫系统	pi fu mian yi xi tong	2
皮肤再生不良	pi fu zai sheng bu liang	2
皮肤出血点	pi fu chu xue dian	1
皮肤划痕症	pi fu hua hen zheng	17
皮肤原位癌	pi fu yuan wei ai	7
皮肤性病学	pi fu xing bing xue	5
皮肤松垂	pi fu song chui	4
皮肤松弛症	pi fu song chi zheng	2
皮肤淋巴细胞瘤	pi fu lin ba xi bao liu	2
皮肤溃疡	pi fu kui yang	33
皮肤炭疽	pi fu tan ju	14
皮肤疣	pi fu you	1
皮肤病血毒丸	pi fu bing xue du wan	4
皮肤癣菌病	pi fu xuan jun bing	8
皮肤真菌病	pi fu zhen jun bing	7
皮肤磨削术	pi fu mo xiao shu	4
皮肤科用药	pi fu ke yong yao	2
皮肤移植	pi fu yi zhi	33
皮肤移植术	pi fu yi zhi shu	1
皮肤粘膜	pi fu zhan mo	7
皮肤纤维瘤	pi fu xian wei liu	2
皮肤结核	pi fu jie he	4
皮肤肿瘤	pi fu zhong liu	16
皮肤色素	pi fu se su	24
皮肤色素沉着	pi fu se su chen zhuo	20
皮肤萎缩	pi fu wei suo	8
皮肤蝇蛆病	pi fu ying qu bing	3
皮肤行为症	pi fu xing wei zheng	2
皮肤附属器	pi fu fu shu qi	3
皮肤黏膜	pi fu nian mo	8
皮肤黑热病	pi fu hei re bing	3
皮脂缺乏症	pi zhi que fa zheng	2
皮脂腺囊肿	pi zhi xian nang zhong	9
皮脂腺增生	pi zhi xian zeng sheng	3
皮脂腺痣	pi zhi xian zhi	5
皮脂腺癌	pi zhi xian ai	1
皮角	pi jiao	5
皮质性白内障	pi zhi xing bai nei zhang	3
皮质盲	pi zhi mang	5
皮革样化	pi ge yang hua	4
皮革胃	pi ge wei	1
盂肱关节	yu gong guan jie	3
盂肱韧带	yu gong ren dai	3
盆炎净片	pen yan jing pian	2
盆炎净胶囊	pen yan jing jiao nang	7
盆炎净颗粒	pen yan jing ke li	2
盆腔囊肿	pen qiang nang zhong	9
盆腔脓肿	pen qiang nong zhong	6
益元散	yi yuan san	1
益坤宁颗粒	yi kun ning ke li	2
益寿大补酒	yi shou da bu jiu	2
益寿宁	yi shou ning	2
益心舒片	yi xin shu pian	2
益心舒胶囊	yi xin shu jiao nang	3
益心酮分散片	yi xin tong fen san pian	2
益心酮片	yi xin tong pian	2
益智仁	yi zhi ren	8
益智康脑丸	yi zhi kang nao wan	4
益智温肾十味丸	yi zhi wen shen shi wei wan	4
益母草冲剂	yi mu cao chong ji	3
益母草流浸膏	yi mu cao liu jin gao	3
益母草片	yi mu cao pian	3
益母草碱	yi mu cao jian	1
益母草胶囊	yi mu cao jiao nang	3
益母草膏	yi mu cao gao	1
益母草软胶囊	yi mu cao ruan jiao nang	3
益母草颗粒	yi mu cao ke li	3
益气健脾	yi qi jian pi	2
益气养血口服液	yi qi yang xue kou fu ye	1
益气安神	yi qi an shen	6
益气活血	yi qi huo xue	1
益气消渴颗粒	yi qi xiao ke ke li	4
益气润肠膏	yi qi run chang gao	2
益气生津	yi qi sheng jin	4
益气聪明丸	yi qi cong ming wan	8
益气聪明汤	yi qi cong ming tang	1
益津降糖胶囊	yi jin jiang tang jiao nang	3
益肝明目口服液	yi gan ming mu kou fu ye	4
益肝解毒	yi gan jie du	3
益肝解毒茶	yi gan jie du cha	4
益肾健骨片	yi shen jian gu pian	3
益肾十七味丸	yi shen shi qi wei wan	3
益肾壮阳膏	yi shen zhuang yang gao	4
益肾安神口服液	yi shen an shen kou fu ye	3
益肾强身丸	yi shen qiang shen wan	3
益肾糖浆	yi shen tang jiang	2
益肾蠲痹丸	yi shen juan bi wan	3
益脉康胶囊	yi mai kang jiao nang	3
益脑复健胶囊	yi nao fu jian jiao nang	3
益脑胶囊	yi nao jiao nang	3
益血生胶囊	yi xue sheng jiao nang	2
益身灵丸	yi shen ling wan	4
盐卤中毒	yan lu zhong du	1
盐水浴	yan shui yu	4
盐酸丁丙诺啡	yan suan ding bing nuo fei	3
盐酸丁咯地尔	yan suan ding luo di er	2
盐酸万古霉素	yan suan wan gu mei su	2
盐酸丙美卡因滴眼液	yan suan bing mei ka yin di yan ye	2
盐酸乙胺丁醇	yan suan yi an ding chun	3
盐酸二氢埃托啡	yan suan er qing ai tuo fei	2
盐酸二氢埃托啡片	yan suan er qing ai tuo fei pian	2
盐酸二氢埃托啡舌下片	yan suan er qing ai tuo fei she xia pian	3
盐酸二氧丙嗪	yan suan er yang bing qin	2
盐酸二甲双胍	yan suan er jia shuang gua	7
盐酸二甲双胍片	yan suan er jia shuang gua pian	5
盐酸二甲双胍缓释片	yan suan er jia shuang gua huan shi pian	3
盐酸二甲双胍肠溶片	yan suan er jia shuang gua chang rong pian	2
盐酸伊托必利	yan suan yi tuo bi li	3
盐酸伊立替康	yan suan yi li ti kang	2
盐酸伊立替康注射液	yan suan yi li ti kang zhu she ye	2
盐酸伐地那非	yan suan fa di na fei	1
盐酸伪麻黄碱	yan suan wei ma huang jian	2
盐酸克仑特罗	yan suan ke lun te luo	1
盐酸克仑特罗栓	yan suan ke lun te luo shuan	3
盐酸克仑特罗气雾剂	yan suan ke lun te luo qi wu ji	2
盐酸克仑特罗片	yan suan ke lun te luo pian	4
盐酸克林霉素	yan suan ke lin mei su	1
盐酸克林霉素棕榈酸酯	yan suan ke lin mei su zong lv suan zhi	2
盐酸克林霉素胶囊	yan suan ke lin mei su jiao nang	3
盐酸利多卡因注射液	yan suan li duo ka yin zhu she ye	4
