# 微明领域词库：IT 与计算机，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
设置中心	she zhi zhong xin	11
设置别名	she zhi bie ming	1
设置向导	she zhi xiang dao	4
设置图案	she zhi tu an	1
设计之美	she ji zhi mei	2
设计分析	she ji fen xi	9
设计审查	she ji shen cha	6
设计库	she ji ku	9
设计方法学	she ji fang fa xue	7
设计架构	she ji jia gou	22
设计模式原则	she ji mo shi yuan ze	8
设计约束	she ji yue shu	10
设计编辑器	she ji bian ji qi	5
设计规划	she ji gui hua	8
设计规约	she ji gui yue	2
设计语言	she ji yu yan	11
设计验证	she ji yan zheng	20
访问令牌	fang wen ling pai	15
访问修饰符	fang wen xiu shi fu	2
访问共享	fang wen gong xiang	14
访问冲突	fang wen chong tu	6
访问周期	fang wen zhou qi	5
访问局部性	fang wen ju bu xing	10
访问授权	fang wen shou quan	5
访问控制列表	fang wen kong zhi lie biao	24
访问权	fang wen quan	39
访问特权	fang wen te quan	3
访问矩阵	fang wen ju zhen	1
访问类型	fang wen lei xing	4
访问级别	fang wen ji bie	11
访问网络	fang wen wang luo	46
访问者模式	fang wen zhe mo shi	13
访问表	fang wen biao	1
访问许可	fang wen xu ke	12
访问限制	fang wen xian zhi	17
证书作废表	zheng shu zuo fei biao	6
证书失效	zheng shu shi xiao	8
证书废除	zheng shu fei chu	6
证书无效	zheng shu wu xiao	6
证书状态	zheng shu zhuang tai	20
证书管理	zheng shu guan li	12
证书管理机构	zheng shu guan li ji gou	3
证书过期	zheng shu guo qi	4
证书配置	zheng shu pei zhi	5
证书链	zheng shu lian	23
证件识别	zheng jian shi bie	7
证据理论	zheng ju li lun	1
证明树	zheng ming shu	1
评价函数	ping jia han shu	1
评分卡	ping fen ka	3
识别文本	shi bie wen ben	4
诊断模型	zhen duan mo xing	3
诊断程序	zhen duan cheng xu	25
词云	ci yun	8
词元	ci yuan	5
词切分	ci qie fen	6
词向量	ci xiang liang	7
词性标注	ci xing biao zhu	16
词汇分析	ci hui fen xi	2
词法分析	ci fa fen xi	25
词法分析器	ci fa fen xi qi	41
词法范围	ci fa fan wei	3
词类标注	ci lei biao zhu	7
词语切分	ci yu qie fen	6
词频分布	ci pin fen bu	5
词频统计	ci pin tong ji	9
试探法	shi tan fa	1
详细教程	xiang xi jiao cheng	8
语义信息	yu yi xin xi	34
语义分析	yu yi fen xi	27
语义化	yu yi hua	22
语义属性	yu yi shu xing	4
语义树	yu yi shu	5
语义检查	yu yi jian cha	1
语义相关性	yu yi xiang guan xing	2
语义网络	yu yi wang luo	48
语义词典	yu yi ci dian	1
语义距离	yu yi ju li	7
语句定义符	yu ju ding yi fu	5
语意学	yu yi xue	23
语法分析程序	yu fa fen xi cheng xu	9
语法基础	yu fa ji chu	3
语法属性	yu fa shu xing	3
语法描述语言	yu fa miao shu yu yan	5
语法细节	yu fa xi jie	3
语法解析	yu fa jie xi	21
语言信息	yu yan xin xi	21
语言基础	yu yan ji chu	46
语言处理程序	yu yan chu li cheng xu	7
语言学理论	yu yan xue li lun	48
语言生成	yu yan sheng cheng	16
语言程序	yu yan cheng xu	40
语言程序设计	yu yan cheng xu she ji	20
语言获取	yu yan huo qu	2
语言识别	yu yan shi bie	15
语言集成查询	yu yan ji cheng cha xun	7
语音信号处理	yu yin xin hao chu li	11
语音增强	yu yin zeng qiang	4
语音处理	yu yin chu li	49
语音搜索	yu yin sou suo	48
语音输入法	yu yin shu ru fa	9
误分类	wu fen lei	1
误差估计	wu cha gu ji	16
说明性语言	shuo ming xing yu yan	3
说话人识别	shuo hua ren shi bie	3
请求分页	qing qiu fen ye	9
请求参数	qing qiu can shu	4
请求处理	qing qiu chu li	27
请求头	qing qiu tou	14
请求报文	qing qiu bao wen	20
请求数据	qing qiu shu ju	20
请求评论	qing qiu ping lun	1
请求超时	qing qiu chao shi	5
请求转发	qing qiu zhuan fa	7
诺依曼结构	nuo yi man jie gou	2
读任务	du ren wu	2
读信号	du xin hao	2
读入一行	du ru yi xing	1
读入数据	du ru shu ju	5
读入文件	du ru wen jian	1
读入文本	du ru wen ben	9
读写分离	du xie fen li	13
读写周期	du xie zhou qi	1
读写控制电路	du xie kong zhi dian lu	4
读写文件	du xie wen jian	7
读写磁头	du xie ci tou	9
读写锁	du xie suo	18
读出时间	du chu shi jian	2
读出电路	du chu dian lu	4
读取图像	du qu tu xiang	7
读取文件	du qu wen jian	26
读取配置文件	du qu pei zhi wen jian	4
读后写	du hou xie	5
读字段	du zi duan	1
读属性	du shu xing	1
读数据线	du shu ju xian	4
读文件	du wen jian	11
读文本	du wen ben	8
读访问	du fang wen	11
读锁	du suo	6
调优	tiao you	16
调度作业	diao du zuo ye	9
调度方式	diao du fang shi	9
调度模块	diao du mo kuai	1
调度程序	diao du cheng xu	32
调度策略	diao du ce lve	10
调度算法	diao du suan fa	26
调度规则	diao du gui ze	3
调度资源	diao du zi yuan	6
调度问题	diao du wen ti	46
调度队列	diao du dui lie	11
调用方法	diao yong fang fa	31
调用相机	diao yong xiang ji	10
调用顺序	diao yong shun xu	2
调相	diao xiang	22
调试例程	tiao shi li cheng	5
调试工具	tiao shi gong ju	38
调试报错	tiao shi bao cuo	6
调试模型	tiao shi mo xing	1
调试程序	tiao shi cheng xu	18
调试错误	tiao shi cuo wu	10
调试问题	tiao shi wen ti	1
谐波信号	xie bo xin hao	5
谓词演算	wei ci yan suan	45
谓词符号	wei ci fu hao	22
谢尔排序	xie er pai xu	5
谱聚类	pu ju lei	14
谷歌卫星地图	gu ge wei xing di tu	4
谷歌地球	gu ge di qiu	31
谷歌学术	gu ge xue shu	43
谷歌浏览器	gu ge liu lan qi	37
贝叶斯估计	bei ye si gu ji	9
贝叶斯公式	bei ye si gong shi	11
贝叶斯决策	bei ye si jue ce	3
贝叶斯分析	bei ye si fen xi	16
贝叶斯分类	bei ye si fen lei	5
贝叶斯分类器	bei ye si fen lei qi	14
贝叶斯推理	bei ye si tui li	23
贝叶斯方法	bei ye si fang fa	39
贝叶斯算法	bei ye si suan fa	2
贝叶斯网络	bei ye si wang luo	17
贝塞尔曲线	bei sai er qu xian	32
贝济埃曲线	bei ji ai qu xian	6
贝赛尔曲线	bei sai er qu xian	10
负载均衡技术	fu zai jun heng ji shu	1
负载电阻	fu zai dian zu	25
负载端	fu zai duan	26
负逻辑	fu luo ji	7
责任链模式	ze ren lian mo shi	7
败者树	bai zhe shu	10
货车运输	huo che yun shu	35
质因子分解	zhi yin zi fen jie	2
质量工程	zhi liang gong cheng	6
质量把控	zhi liang ba kong	1
贪婪算法	tan lan suan fa	9
贪心专题	tan xin zhuan ti	5
贪心法	tan xin fa	16
贪心策略	tan xin ce lve	2
贪心算法	tan xin suan fa	31
贪心问题	tan xin wen ti	1
购物系统	gou wu xi tong	5
费用流	fei yong liu	2
资料下载	zi liao xia zai	25
资料分享	zi liao fen xiang	8
资料整合	zi liao zheng he	33
资料文档	zi liao wen dang	1
资料链接	zi liao lian jie	9
资源下载	zi yuan xia zai	25
资源共享控制	zi yuan gong xiang kong zhi	8
资源冲突	zi yuan chong tu	12
资源分享	zi yuan fen xiang	38
资源分配表	zi yuan fen pei biao	1
资源加密	zi yuan jia mi	8
资源加载	zi yuan jia zai	4
资源备份	zi yuan bei fen	5
资源大全	zi yuan da quan	1
资源子网	zi yuan zi wang	8
资源打包	zi yuan da bao	1
资源搜集	zi yuan sou ji	15
资源操作	zi yuan cao zuo	1
资源收集	zi yuan shou ji	22
资源整理	zi yuan zheng li	1
资源文件	zi yuan wen jian	25
资源汇总	zi yuan hui zong	2
资源管理程序	zi yuan guan li cheng xu	6
资源素材	zi yuan su cai	1
资源调度	zi yuan diao du	22
资源释放	zi yuan shi fang	6
资源重复	zi yuan chong fu	5
赋值函数	fu zhi han shu	12
赋值操作符	fu zhi cao zuo fu	5
赋值构造函数	fu zhi gou zao han shu	8
赋值语句	fu zhi yu ju	45
赋值运算符	fu zhi yun suan fu	39
赫夫曼编码	he fu man bian ma	1
走出象牙塔	zou chu xiang ya ta	5
赶集网	gan ji wang	37
起始信号	qi shi xin hao	9
起始目录	qi shi mu lu	5
起始页	qi shi ye	15
起泡排序	qi pao pai xu	9
超五类	chao wu lei	1
超人学院	chao ren xue yuan	6
超出隐藏	chao chu yin cang	7
超图	chao tu	8
超声波传感器	chao sheng bo chuan gan qi	11
超声波测距	chao sheng bo ce ju	7
超媒体	chao mei ti	11
超时控制	chao shi kong zhi	9
超标量	chao biao liang	35
超标量结构	chao biao liang jie gou	1
超流水线	chao liu shui xian	7
超流水线结构	chao liu shui xian jie gou	1
超算	chao suan	8
超类	chao lei	14
超级巡警	chao ji xun jing	5
超级服务器	chao ji fu wu qi	1
超级楼梯	chao ji lou ti	8
超级终端	chao ji zhong duan	6
超级编译器	chao ji bian yi qi	6
超级表格	chao ji biao ge	8
超级链接	chao ji lian jie	12
超线程技术	chao xian cheng ji shu	27
超链接	chao lian jie	15
超长指令字	chao chang zhi ling zi	20
超长文本	chao chang wen ben	6
趣味程序	qu wei cheng xu	5
趣味编程	qu wei bian cheng	6
跑酷游戏	pao ku you xi	23
跑马灯效果	pao ma deng xiao guo	4
距离向量	ju li xiang liang	22
距离度量	ju li du liang	26
跟踪球	gen zong qiu	2
跟踪算法	gen zong suan fa	7
跟踪误差	gen zong wu cha	4
跟踪路由	gen zong lu you	7
跨列合并	kua lie he bing	6
跨域访问	kua yu fang wen	12
跨域请求	kua yu qing qiu	12
跨域问题	kua yu wen ti	11
跨平台开发	kua ping tai kai fa	26
跨接	kua jie	14
跨浏览器	kua liu lan qi	30
跨线程	kua xian cheng	2
跨行合并	kua hang he bing	1
跨语言调用	kua yu yan diao yong	8
跨进程	kua jin cheng	9
跨进程通信	kua jin cheng tong xin	1
路径分析	lu jing fen xi	8
路径压缩	lu jing ya suo	9
路径名	lu jing ming	23
路径命令	lu jing ming ling	8
路径搜索	lu jing sou suo	5
路径条件	lu jing tiao jian	6
路径表达式	lu jing biao da shi	4
路径规划	lu jing gui hua	13
路径记录	lu jing ji lu	2
路由交换	lu you jiao huan	9
路由器开发	lu you qi kai fa	5
路由器配置	lu you qi pei zhi	3
路由选择	lu you xuan ze	17
路由选择协议	lu you xuan ze xie yi	10
路由选择算法	lu you xuan ze suan fa	9
路由配置	lu you pei zhi	11
跳出循环	tiao chu xun huan	5
跳台阶	tiao tai jie	2
跳跃表	tiao yue biao	1
跳转页面	tiao zhuan ye mian	3
身份证校验	shen fen zheng jiao yan	8
身份证识别	shen fen zheng shi bie	3
身份证验证	shen fen zheng yan zheng	6
车牌识别	che pai shi bie	23
车辆违章查询	che liang wei zhang cha xun	6
轨迹曲线	gui ji qu xian	4
轨迹模型	gui ji mo xing	2
轨迹颜色	gui ji yan se	5
转义符	zhuan yi fu	7
转入转出	zhuan ru zhuan chu	8
转向语句	zhuan xiang yu ju	8
转场动画	zhuan chang dong hua	4
转屏	zhuan ping	10
转换为主机名	zhuan huan wei zhu ji ming	6
转换方法	zhuan huan fang fa	31
转换框架	zhuan huan kuang jia	6
转换流	zhuan huan liu	12
转接板	zhuan jie ban	7
转接线	zhuan jie xian	37
转移指令	zhuan yi zhi ling	7
转移目标地址	zhuan yi mu biao di zhi	5
转移预测	zhuan yi yu ce	2
转载类	zhuan zai lei	5
轮廓提取	lun kuo ti qu	9
轮廓检测	lun kuo jian ce	1
轮廓生成	lun kuo sheng cheng	5
轮廓识别	lun kuo shi bie	5
轮廓跟踪	lun kuo gen zong	1
轮廓预测	lun kuo yu ce	5
轮播图	lun bo tu	1
轮转法调度	lun zhuan fa diao du	7
软中断	ruan zhong duan	11
软中断信号	ruan zhong duan xin hao	9
软中断机制	ruan zhong duan ji zhi	8
软件中断	ruan jian zhong duan	7
软件主体	ruan jian zhu ti	2
软件体系结构	ruan jian ti xi jie gou	4
软件作品	ruan jian zuo pin	8
软件使用	ruan jian shi yong	12
软件使用教程	ruan jian shi yong jiao cheng	1
软件保护	ruan jian bao hu	9
软件分享	ruan jian fen xiang	1
软件创业	ruan jian chuang ye	1
软件加密	ruan jian jia mi	5
软件区	ruan jian qu	6
软件单元	ruan jian dan yuan	3
软件发布	ruan jian fa bu	48
软件可移植性	ruan jian ke yi zhi xing	1
软件可维护性	ruan jian ke wei hu xing	7
软件可靠性	ruan jian ke kao xing	8
软件基础	ruan jian ji chu	5
软件复用	ruan jian fu yong	14
软件外包	ruan jian wai bao	22
软件失效	ruan jian shi xiao	5
软件安全	ruan jian an quan	8
软件安全性	ruan jian an quan xing	2
软件安装配置	ruan jian an zhuang pei zhi	6
软件定义网络	ruan jian ding yi wang luo	13
软件工程思想	ruan jian gong cheng si xiang	8
软件工程环境	ruan jian gong cheng huan jing	1
软件工程类	ruan jian gong cheng lei	2
软件常识	ruan jian chang shi	5
软件开发周期	ruan jian kai fa zhou qi	6
软件开发培训	ruan jian kai fa pei xun	6
软件开发库	ruan jian kai fa ku	1
软件开发手册	ruan jian kai fa shou ce	5
软件开发方法	ruan jian kai fa fang fa	17
软件开发模型	ruan jian kai fa mo xing	2
软件开发流程	ruan jian kai fa liu cheng	4
软件开发环境	ruan jian kai fa huan jing	19
软件开发管理	ruan jian kai fa guan li	9
软件开发类	ruan jian kai fa lei	7
软件开发计划	ruan jian kai fa ji hua	2
软件思想	ruan jian si xiang	7
软件性能	ruan jian xing neng	4
软件总线	ruan jian zong xian	7
软件打包	ruan jian da bao	5
软件推荐	ruan jian tui jian	21
软件操作	ruan jian cao zuo	10
软件故障	ruan jian gu zhang	12
软件教程	ruan jian jiao cheng	2
软件数据库	ruan jian shu ju ku	1
软件文档	ruan jian wen dang	29
软件方法学	ruan jian fang fa xue	3
软件构件	ruan jian gou jian	5
软件构建	ruan jian gou jian	8
软件构架	ruan jian gou jia	1
软件架构师	ruan jian jia gou shi	8
软件架构设计	ruan jian jia gou she ji	1
软件框架	ruan jian kuang jia	33
软件水平考试	ruan jian shui ping kao shi	1
软件测试工具	ruan jian ce shi gong ju	7
软件测试理论	ruan jian ce shi li lun	7
软件测试管理	ruan jian ce shi guan li	8
软件源	ruan jian yuan	43
软件版权	ruan jian ban quan	6
软件环境配置	ruan jian huan jing pei zhi	5
软件生产率	ruan jian sheng chan lv	8
软件生存周期	ruan jian sheng cun zhou qi	9
软件研发	ruan jian yan fa	23
软件研发过程	ruan jian yan fa guo cheng	1
软件破解	ruan jian po jie	15
软件管理	ruan jian guan li	17
软件类	ruan jian lei	6
软件结构	ruan jian jie gou	4
软件维护	ruan jian wei hu	11
软件编程	ruan jian bian cheng	12
软件缺陷	ruan jian que xian	36
软件获取	ruan jian huo qu	6
软件训练营	ruan jian xun lian ying	4
软件设置	ruan jian she zhi	12
软件设计师	ruan jian she ji shi	32
软件评测	ruan jian ping ce	2
软件质量	ruan jian zhi liang	48
软件质量保证	ruan jian zhi liang bao zheng	6
软件资源	ruan jian zi yuan	13
软件过程	ruan jian guo cheng	12
软件逆向	ruan jian ni xiang	1
软件配置	ruan jian pei zhi	8
软件配置管理	ruan jian pei zhi guan li	19
软件错误	ruan jian cuo wu	23
软件陷阱	ruan jian xian jing	5
软件项目管理	ruan jian xiang mu guan li	6
软件风险	ruan jian feng xian	6
软件验收	ruan jian yan shou	7
软工	ruan gong	18
软工学习	ruan gong xue xi	5
软工文档	ruan gong wen dang	8
软引用	ruan yin yong	4
软技能	ruan ji neng	9
软故障	ruan gu zhang	6
软计算	ruan ji suan	18
软连接	ruan lian jie	4
软链接	ruan lian jie	14
软键盘	ruan jian pan	14
轻开平台	qing kai ping tai	9
轻量级应用	qing liang ji ying yong	2
载入图片	zai ru tu pian	10
载入材质	zai ru cai zhi	6
载波侦听	zai bo zhen ting	17
辅助任务	fu zhu ren wu	32
辅助函数	fu zhu han shu	27
辅助副本	fu zhu fu ben	6
辅助存储器	fu zhu cun chu qi	2
辅助开发工具	fu zhu kai fa gong ju	8
辅助段	fu zhu duan	3
辅助知识	fu zhu zhi shi	2
辅助索引	fu zhu suo yin	15
辅助集	fu zhu ji	22
辐射度方法	fu she du fang fa	5
输入优先级	shu ru you xian ji	5
输入依赖	shu ru yi lai	1
输入子系统	shu ru zi xi tong	10
输入带	shu ru dai	4
输入文本类型	shu ru wen ben lei xing	6
输入校验	shu ru jiao yan	10
输入框	shu ru kuang	46
输入模式	shu ru mo shi	30
输入流	shu ru liu	30
输入特性	shu ru te xing	2
输入缓冲区	shu ru huan chong qu	19
输入脉冲	shu ru mai chong	10
输入规模	shu ru gui mo	9
输入输出函数	shu ru shu chu han shu	4
输入输出接口	shu ru shu chu jie kou	8
输入输出流	shu ru shu chu liu	4
输入输出管理	shu ru shu chu guan li	1
输入输出训练	shu ru shu chu xun lian	5
输入输出设备	shu ru shu chu she bei	21
输入输出队列	shu ru shu chu dui lie	7
输入进程	shu ru jin cheng	1
输入速率	shu ru su lv	2
输入验证	shu ru yan zheng	7
输出优先级	shu chu you xian ji	11
输出依赖	shu chu yi lai	3
输出带	shu chu dai	2
输出提交	shu chu ti jiao	6
输出断言	shu chu duan yan	5
输出模式	shu chu mo shi	13
输出流	shu chu liu	31
输出特性	shu chu te xing	18
输出脉冲	shu chu mai chong	7
输出进程	shu chu jin cheng	1
输出重定向	shu chu chong ding xiang	7
辗转相除	zhan zhuan xiang chu	6
边写边读	bian xie bian du	5
边双连通分量	bian shuang lian tong fen liang	9
边沿触发	bian yan chu fa	25
边界像素	bian jie xiang su	2
边界宽度	bian jie kuan du	1
边界扫描	bian jie sao miao	19
边界检测	bian jie jian ce	3
边界细节	bian jie xi jie	6
边界网关	bian jie wang guan	1
边界网关协议	bian jie wang guan xie yi	29
边界表示	bian jie biao shi	7
边界跟踪	bian jie gen zong	3
边界路由器	bian jie lu you qi	15
边界错误	bian jie cuo wu	7
边缘像素	bian yuan xiang su	4
边缘分割	bian yuan fen ge	6
边缘匹配	bian yuan pi pei	6
边缘图像	bian yuan tu xiang	1
边缘增强	bian yuan zeng qiang	2
边缘提取	bian yuan ti qu	2
边缘测试	bian yuan ce shi	1
边缘算子	bian yuan suan zi	6
边缘调整	bian yuan tiao zheng	1
边缘连接	bian yuan lian jie	12
边覆盖	bian fu gai	25
边距	bian ju	37
迁移学习	qian yi xue xi	11
过冲	guo chong	9
过期数据	guo qi shu ju	1
过河问题	guo he wen ti	3
过渡动画	guo du dong hua	8
过渡效果	guo du xiao guo	7
过滤特殊字符	guo lv te shu zi fu	1
过程分享	guo cheng fen xiang	1
过程分析	guo cheng fen xi	26
过程同步	guo cheng tong bu	1
过程改进	guo cheng gai jin	20
过程数据	guo cheng shu ju	9
过程模型	guo cheng mo xing	28
过程语义	guo cheng yu yi	5
过程语言	guo cheng yu yan	10
过程逻辑	guo cheng luo ji	2
运动估计	yun dong gu ji	20
运动分析	yun dong fen xi	9
运动向量	yun dong xiang liang	15
运动图像	yun dong tu xiang	18
运动图像压缩	yun dong tu xiang ya suo	1
运动捕捉	yun dong bu zhuo	4
运动控制器	yun dong kong zhi qi	22
运动检测	yun dong jian ce	16
运动目标检测	yun dong mu biao jian ce	9
运动跟踪	yun dong gen zong	10
运动重建	yun dong chong jian	6
运动预测	yun dong yu ce	11
运放	yun fang	31
运算器	yun suan qi	33
运算寄存器	yun suan ji cun qi	1
运算符优先级	yun suan fu you xian ji	7
运维基础	yun wei ji chu	6
