# 微明领域词库：历史人物，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
马特维耶维奇	ma te wei ye wei qi	14
马特西亚斯	ma te xi ya si	2
马玉仁	ma yu ren	38
马玉麟	ma yu lin	8
马玩	ma wan	4
马琬	ma wan	3
马璧	ma bi	26
马留	ma liu	5
马石	ma shi	6
马祖光	ma zu guang	10
马稷	ma ji	3
马约翰	ma yue han	7
马纯	ma chun	4
马绍荣	ma shao rong	3
马聪玲	ma cong ling	4
马肃	ma su	3
马胜利	ma sheng li	7
马自强	ma zi qiang	11
马臻	ma zhen	12
马艳丽	ma yan li	12
马芳	ma fang	11
马荣祖	ma rong zu	2
马莉	ma li	11
马融	ma rong	5
马遵	ma zun	31
马邈	ma miao	26
马郁	ma yu	5
马鑫	ma xin	7
马铁	ma tie	5
马长海	ma chang hai	14
马雄镇	ma xiong zhen	13
马霖	ma lin	2
马麟	ma lin	7
马鼎盛	ma ding sheng	47
骆爽	luo shuang	1
骆玉笙	luo yu sheng	29
骆轶航	luo yi hang	4
高佩	gao pei	5
高健	gao jian	12
高健平	gao jian ping	3
高元钧	gao yuan jun	14
高兆	gao zhao	3
高其佩	gao qi pei	29
高凤翰	gao feng han	17
高凤阁	gao feng ge	6
高剑巍	gao jian wei	2
高原彩	gao yuan cai	7
高吉人	gao ji ren	18
高启	gao qi	7
高咏	gao yong	3
高国栋	gao guo dong	1
高垲	gao kai	3
高士其	gao shi qi	28
高士华	gao shi hua	4
高士达	gao shi da	30
高奴	gao nu	3
高娅媛	gao ya yuan	10
高娜	gao na	6
高子平	gao zi ping	2
高守	gao shou	3
高定	gao ding	9
高宝宝	gao bao bao	5
高小英	gao xiao ying	6
高山南	gao shan nan	3
高峰秀子	gao feng xiu zi	26
高希舜	gao xi shun	21
高常在	gao chang zai	2
高平子	gao ping zi	34
高庆奎	gao qing kui	33
高振霄	gao zhen xiao	6
高敏	gao min	11
高文秀	gao wen xiu	13
高旗	gao qi	7
高明海	gao ming hai	4
高显	gao xian	6
高晓声	gao xiao sheng	10
高林生	gao lin sheng	7
高枫	gao feng	30
高柔	gao rou	4
高桥幸宏	gao qiao xing hong	45
高桥爱	gao qiao ai	3
高桥美纪	gao qiao mei ji	7
高桥阳一	gao qiao yang yi	24
高梦旦	gao meng dan	16
高棅	gao bing	14
高楷	gao kai	2
高殷	gao yin	4
高汀	gao ting	4
高沛	gao pei	4
高波	gao bo	11
高海博	gao hai bo	1
高海燕	gao hai yan	7
高润霖	gao run lin	7
高淮	gao huai	3
高濂	gao lian	28
高焕文	gao huan wen	2
高燮	gao xie	26
高玮	gao wei	32
高珊珊	gao shan shan	11
高田延彦	gao tian yan yan	18
高田裕司	gao tian yu si	11
高田麻衣	gao tian ma yi	1
高百岁	gao bai sui	5
高硕	gao shuo	4
高秋福	gao qiu fu	4
高立民	gao li min	4
高简	gao jian	3
高红	gao hong	9
高翥	gao zhu	15
高而颐	gao er yi	1
高虎	gao hu	10
高览	gao lan	42
高觉敷	gao jue fu	13
高辛	gao xin	8
高迪奥	gao di ao	31
高道士	gao dao shi	3
高道素	gao dao su	8
高部爱	gao bu ai	14
高鉴	gao jian	5
高钧	gao jun	4
高铃	gao ling	4
高铨	gao quan	7
高阜	gao fu	21
高顺	gao shun	6
高鹏振	gao peng zhen	47
髡残	kun can	11
鬲国	ge guo	1
魏乔	wei qiao	1
魏伯阳	wei bo yang	35
魏佳庆	wei jia qing	7
魏允贞	wei yun zhen	30
魏击	wei ji	15
魏初	wei chu	36
魏君子	wei jun zi	11
魏坤	wei kun	37
魏学	wei xue	5
魏学曾	wei xue zeng	33
魏学濂	wei xue lian	15
魏平	wei ping	8
魏徵	wei zheng	5
魏成	wei cheng	7
魏敏芝	wei min zhi	12
魏文通	wei wen tong	10
魏斐德	wei fei de	20
魏明伦	wei ming lun	22
魏校	wei xiao	24
魏湘	wei xiang	5
魏礼	wei li	3
魏祖清	wei zu qing	2
魏秀仁	wei xiu ren	1
魏裔介	wei yi jie	23
魏象枢	wei xiang shu	25
魏野	wei ye	4
魏长生	wei chang sheng	11
魏骥	wei ji	6
魏鹤龄	wei he ling	15
鱼夫	yu fu	4
鱼翼	yu yi	2
鲁公	lu gong	6
鲁孝公	lu xiao gong	47
鲁彦	lu yan	4
鲁彦周	lu yan zhou	7
鲁得之	lu de zhi	1
鲁悼公	lu dao gong	29
鲁惠公	lu hui gong	44
鲁杰里	lu jie li	19
鲁炀公	lu yang gong	12
鲁贞	lu zhen	2
鲁超	lu chao	7
鲁闵公	lu min gong	46
鲁顷公	lu qing gong	23
鲍俊	bao jun	9
鲍刚	bao gang	47
鲍宁	bao ning	46
鲍康	bao kang	42
鲍廷博	bao ting bo	26
鲍忠	bao zhong	23
鲍皋	bao gao	1
鲍素	bao su	1
鲍隆	bao long	20
鲜于枢	xian yu shu	29
鸾鸟	luan niao	34
鹿地亘	lu di gen	15
麟趾宫	lin zhi gong	24
麦人	mai ren	4
麦克马纳斯	mai ke ma na si	44
麦卡勒斯	mai ka le si	31
麻美由真	ma mei you zhen	42
黄一苇	huang yi wei	4
黄丕烈	huang pi lie	39
黄世忠	huang shi zhong	22
黄世成	huang shi cheng	2
黄世清	huang shi qing	14
黄世荣	huang shi rong	6
黄中理	huang zhong li	3
黄丽松	huang li song	45
黄举平	huang ju ping	2
黄义明	huang yi ming	2
黄亚平	huang ya ping	11
黄仕清	huang shi qing	3
黄仕豪	huang shi hao	18
黄以周	huang yi zhou	19
黄仲元	huang zhong yuan	4
黄仲生	huang zhong sheng	34
黄伯思	huang bo si	17
黄伯涛	huang bo tao	2
黄佐	huang zuo	5
黄体芳	huang ti fang	12
黄俊郎	huang jun lang	25
黄健中	huang jian zhong	46
黄元御	huang yuan yu	6
黄兴文	huang xing wen	5
黄利华	huang li hua	6
黄华琼	huang hua qiong	7
黄卿	huang qing	23
黄吉安	huang ji an	2
黄君	huang jun	9
黄启东	huang qi dong	6
黄启川	huang qi chuan	24
黄国祯	huang guo zhen	2
黄国镇	huang guo zhen	30
黄培芳	huang pei fang	12
黄士衡	huang shi heng	21
黄士陵	huang shi ling	8
黄天菊	huang tian ju	2
黄天鹏	huang tian peng	30
黄奕中	huang yi zhong	32
黄婉伶	huang wan ling	18
黄子卿	huang zi qing	18
黄子君	huang zi jun	8
黄守忠	huang shou zhong	5
黄安涛	huang an tao	3
黄宗仰	huang zong yang	18
黄宗会	huang zong hui	9
黄宗颜	huang zong yan	6
黄家驷	huang jia si	18
黄小燕	huang xiao yan	13
黄山寿	huang shan shou	3
黄岚	huang lan	8
黄峻	huang jun	22
黄崇	huang chong	3
黄希文	huang xi wen	5
黄应谌	huang ying chen	2
黄度	huang du	3
黄廉	huang lian	27
黄建华	huang jian hua	15
黄彦平	huang yan ping	3
黄彪	huang biao	9
黄彭年	huang peng nian	13
黄德源	huang de yuan	2
黄志红	huang zhi hong	8
黄念祖	huang nian zu	23
黄怒波	huang nu bo	26
黄性震	huang xing zhen	4
黄承彦	huang cheng yan	42
黄文达	huang wen da	3
黄明生	huang ming sheng	6
黄易	huang yi	8
黄晞	huang xi	10
黄晟	huang sheng	49
黄景仁	huang jing ren	32
黄景贤	huang jing xian	3
黄暐	huang wei	2
黄本骥	huang ben ji	21
黄权	huang quan	6
黄杜	huang du	5
黄格选	huang ge xuan	6
黄桂秋	huang gui qiu	9
黄棠	huang tang	7
黄楚九	huang chu jiu	28
黄正宗	huang zheng zong	2
黄永年	huang yong nian	28
黄永耀	huang yong yao	3
黄汝成	huang ru cheng	5
黄洛峰	huang luo feng	14
黄济	huang ji	5
黄浚	huang jun	13
黄海林	huang hai lin	1
黄淳耀	huang chun yao	44
黄溥	huang pu	5
黄瀚	huang han	12
黄熙	huang xi	5
黄爱	huang ai	7
黄爵滋	huang jue zi	27
黄玉莹	huang yu ying	5
黄玉阶	huang yu jie	48
黄玺庆	huang xi qing	4
黄珍吾	huang zhen wu	22
黄珏	huang jue	10
黄琮	huang cong	37
黄璟	huang jing	4
黄璧	huang bi	4
黄登	huang deng	6
黄省曾	huang sheng zeng	26
黄祯	huang zhen	16
黄福林	huang fu lin	5
黄秋耘	huang qiu yun	10
黄笑宇	huang xiao yu	3
黄绍昌	huang shao chang	1
黄绍统	huang shao tong	2
黄维仁	huang wei ren	1
黄绾	huang wan	46
黄罗斌	huang luo bin	48
黄自	huang zi	7
黄航	huang hang	4
黄舸	huang ge	1
黄良玉	huang liang yu	1
黄节	huang jie	6
黄荃	huang quan	11
黄葆戊	huang bao wu	2
黄蓓蕾	huang bei lei	2
黄薪	huang xin	29
黄衷	huang zhong	19
黄诚	huang cheng	47
黄谦	huang qian	45
黄超然	huang chao ran	2
黄进先	huang jin xian	3
黄远生	huang yuan sheng	27
黄金富	huang jin fu	10
黄鑫	huang xin	24
黄锦康	huang jin kang	3
黄阅	huang yue	8
黄集伟	huang ji wei	3
黄霑	huang zhan	7
黄鸣龙	huang ming long	48
黄齐生	huang qi sheng	16
黎凯	li kai	10
黎培敬	li pei jing	8
黎庶昌	li shu chang	48
黎德志	li de zhi	4
黎春华	li chun hua	10
黎民怀	li min huai	2
黎民表	li min biao	16
黎汝清	li ru qing	3
黎泽泰	li ze tai	1
黎玉玺	li yu xi	43
黎磊石	li lei shi	11
黎简	li jian	14
黎贞	li zhen	17
黑木明纱	hei mu ming sha	6
黑楠	hei nan	11
黑田如水	hei tian ru shui	31
黛琪	dai qi	5
齐世英	qi shi ying	39
齐丹	qi dan	33
齐千郡	qi qian jun	1
齐召南	qi zhao nan	26
齐哀公	qi ai gong	33
齐妃	qi fei	36
齐学启	qi xue qi	22
齐宣公	qi xuan gong	24
齐文公	qi wen gong	29
齐献公	qi xian gong	19
齐胡公	qi hu gong	26
齐良琨	qi liang kun	5
齐藤庆子	qi teng qing zi	3
齐闵王	qi min wang	11
龙为霖	long wei lin	4
龙仁夫	long ren fu	3
龙元任	long yuan ren	2
龙勒	long le	3
龙启	long qi	5
龙启瑞	long qi rui	10
龙媒	long mei	5
龙德施泰特	long de shi tai te	1
龙纪	long ji	4
龙舒	long shu	3
龙蕾	long lei	6
龚丽	gong li	23
龚兰生	gong lan sheng	1
龚勤	gong qin	1
龚均	gong jun	4
龚宝铨	gong bao quan	10
龚居中	gong ju zhong	2
龚廷贤	gong ting xian	2
龚明之	gong ming zhi	10
龚易图	gong yi tu	2
龚晓跃	gong xiao yue	17
龚景	gong jing	15
龚浩	gong hao	22
龚睿那	gong rui na	32
龚秋声	gong qiu sheng	3
龚稼农	gong jia nong	11
龚翔麟	gong xiang lin	15
龚蓓苾	gong bei bi	42
龚贤	gong xian	44
龚都	gong du	4
