# 微明领域词库：历史人物，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
叶其蓁	ye qi zhen	3
叶初春	ye chu chun	19
叶启勋	ye qi xun	4
叶启彬	ye qi bin	3
叶国华	ye guo hua	47
叶天士	ye tian shi	39
叶天赐	ye tian ci	9
叶子铭	ye zi ming	3
叶宪祖	ye xian zu	10
叶容	ye rong	2
叶廖缅科	ye liao mian ke	38
叶志成	ye zhi cheng	12
叶恒	ye heng	8
叶文心	ye wen xin	6
叶时	ye shi	8
叶昌炽	ye chang chi	30
叶春及	ye chun ji	29
叶暗	ye an	18
叶树林	ye shu lin	14
叶梦龙	ye meng long	4
叶洮	ye tao	1
叶满林	ye man lin	2
叶焕	ye huan	7
叶焕荣	ye huan rong	7
叶燮	ye xie	10
叶王	ye wang	4
叶绍袁	ye shao yuan	25
叶美香	ye mei xiang	4
叶自成	ye zi cheng	4
叶舟	ye zhou	29
叶茂中	ye mao zhong	21
叶蓓	ye bei	33
叶衍兰	ye yan lan	16
叶襄	ye xiang	1
叶迎春	ye ying chun	24
叶道芬	ye dao fen	2
叶钧	ye jun	19
叶铿	ye keng	1
叶长春	ye chang chun	14
叶长盛	ye chang sheng	4
叶飞	ye fei	9
叶鼎	ye ding	2
司徒眉生	si tu mei sheng	1
司徒非	si tu fei	19
司过	si guo	3
司马丕	si ma pi	42
司马岳	si ma yue	45
吉吉亚	ji ji ya	12
吉太	ji tai	2
吉奥夫	ji ao fu	39
吉梦熊	ji meng xiong	1
吉田拓郎	ji tian tuo lang	40
吉田洁	ji tian jie	28
吉田秋生	ji tian qiu sheng	38
吉田美香	ji tian mei xiang	5
吉黄	ji huang	4
名取裕子	ming qu yu zi	40
后槽	hou cao	7
后藤麻衣	hou teng ma yi	41
向举	xiang ju	4
向井亚纪	xiang jing ya ji	4
向县	xiang xian	13
向宠	xiang chong	2
向文波	xiang wen bo	13
向朗	xiang lang	3
向秀	xiang xiu	6
向鼎	xiang ding	3
吕世杰	lv shi jie	3
吕伯奢	lv bo she	34
吕伯望	lv bo wang	1
