# 微明基础词库，由 glimmer-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；补充常用词（common_words.tsv，白名单 CC-CEDICT CC BY-SA 4.0 与 jieba 词表 MIT，人工审）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：微明自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
杀婴	sha ying	133
杀害	sha hai	24294
杀富济贫	sha fu ji pin	6
杀戒	sha jie	334
杀戮	sha lu	3144
杀手	sha shou	11196
杀手锏	sha shou jian	73
杀技	sha ji	2
杀掉	sha diao	3124
杀掠	sha lve	139
杀机	sha ji	860
杀死	sha si	28060
杀毒	sha du	237
杀毒软件	sha du ruan jian	333
杀气	sha qi	426
杀气腾腾	sha qi teng teng	36
杀熟	sha shu	13
杀父之仇	sha fu zhi chou	126
杀猪	sha zhu	860
杀猪刀	sha zhu dao	1085
杀生	sha sheng	1049
杀疯了	sha feng le	200
杀菌	sha jun	1025
杀虫剂	sha chong ji	1270
杀身之祸	sha shen zhi huo	226
杀身成仁	sha shen cheng ren	31
杀青	sha qing	4764
杀鸡儆猴	sha ji jing hou	72
杀鸡取卵	sha ji qu luan	7
杀鸡吓猴	sha ji xia hou	1
杂	za	15417
杂七杂八	za qi za ba	228
杂书	za shu	71
杂乱	za luan	556
杂乱无章	za luan wu zhang	310
杂事	za shi	367
杂交	za jiao	4057
杂凑	za cou	377
杂剧	za ju	738
杂务	za wu	321
杂品	za pin	33
杂处	za chu	122
杂家	za jia	140
杂居	za ju	381
杂工	za gong	246
杂役	za yi	275
杂志	za zhi	62907
杂志社	za zhi she	2055
杂念	za nian	267
杂感	za gan	48
杂技	za ji	1565
杂拌儿	za ban er	6
杂文	za wen	729
杂木	za mu	645
杂毛	za mao	165
杂沓	za ta	26
杂活	za huo	55
杂烩	za hui	75
杂牌	za pai	212
杂牌军	za pai jun	95
杂物	za wu	1334
杂用	za yong	70
杂病	za bing	56
杂症	za zheng	19
杂碎	za sui	179
杂种	za zhong	426
杂税	za shui	69
杂粮	za liang	789
杂糅	za rou	101
杂耍	za shua	773
杂肥	za fei	1
杂色	za se	375
杂草	za cao	1195
杂讯	za xun	1225
杂记	za ji	840
杂说	za shuo	123
杂谈	za tan	176
杂货	za huo	914
杂货店	za huo dian	2521
杂货铺	za huo pu	643
杂质	za zhi	1363
杂费	za fei	106
杂陈	za chen	186
杂院儿	za yuan er	55
杂面	za mian	69
杂音	za yin	540
杂项	za xiang	412
杂食	za shi	1661
杂食性动物	za shi xing dong wu	171
权	quan	86083
权且	quan qie	31
权位	quan wei	351
权作	quan zuo	31
权值	quan zhi	188
权利	quan li	31079
权利要求	quan li yao qiu	191
权力	quan li	33666
权力结构	quan li jie gou	149
权势	quan shi	2001
权变	quan bian	103
权奸	quan jian	62
权威	quan wei	8865
权宜	quan yi	209
权宜之计	quan yi zhi ji	184
权当	quan dang	213
权志	quan zhi	17
权志龙	quan zhi long	338
权时	quan shi	203
权术	quan shu	127
权杖	quan zhang	791
权柄	quan bing	334
权欲	quan yu	31
权益	quan yi	9087
权能	quan neng	695
权臣	quan chen	1352
权衡	quan heng	958
权证	quan zheng	146
权谋	quan mou	218
权责	quan ze	586
权贵	quan gui	1761
权重	quan zhong	1376
权钱交易	quan qian jiao yi	50
权门	quan men	64
权限	quan xian	4262
杄	qian	3
杆	gan	14263
杆位	gan wei	1225
杆头	gan tou	100
杆子	gan zi	758
杆秤	gan cheng	58
杆菌	gan jun	3763
杈	cha	77
杈子	cha zi	11
杉	sha	659
杉	shan	13186
杉山	shan shan	1247
杉山纪彰	shan shan ji zhang	72
杉木	sha mu	357
杉杉来	shan shan lai	307
杉村春子	shan cun chun zi	51
杉来	shan lai	3
杉树	sha shu	25
杉树	shan shu	205
杉田	shan tian	541
杉田智和	shan tian zhi he	305
杉篙	sha gao	2
杌	wu	124
李	li	235053
李一氓	li yi mang	100
李七庄	li qi zhuang	54
李万居	li wan ju	160
李世	li shi	2035
李世民	li shi min	1680
李世石	li shi shi	168
李东	li dong	791
李东生	li dong sheng	134
李东阳	li dong yang	203
李严	li yan	319
李丰	li feng	309
李丽珊	li li shan	157
李丽珍	li li zhen	202
李乐	li le	389
李云迪	li yun di	169
李井泉	li jing quan	224
李亚鹏	li ya peng	96
李亨	li heng	355
李仁孝	li ren xiao	108
李从珂	li cong ke	501
李仙得	li xian de	180
李代桃僵	li dai tao jiang	13
李仲	li zhong	870
李伟	li wei	1168
李伟文	li wei wen	71
李作鹏	li zuo peng	188
李佳	li jia	1414
李佳豫	li jia yu	53
李俊	li jun	1417
李俊贤	li jun xian	58
李修贤	li xiu xian	232
李健	li jian	1262
李健吾	li jian wu	54
李偲	li cai	274
李傕	li jue	643
李儒	li ru	158
李元	li yuan	2214
李元昊	li yuan hao	295
李元霸	li yuan ba	64
李兆	li zhao	961
李兆洛	li zhao luo	87
李先念	li xian nian	1003
李光	li guang	1415
李光地	li guang di	136
李光弼	li guang bi	267
李光洁	li guang jie	117
李光耀	li guang yao	1164
李克农	li ke nong	426
李克勤	li ke qin	2059
李克用	li ke yong	1340
李公	li gong	605
李公朴	li gong pu	142
李公祠	li gong ci	50
李军	li jun	282
李冰冰	li bing bing	187
李冶	li ye	152
李准基	li zhun ji	169
李华	li hua	773
李卓	li zhuo	1161
李南	li nan	204
李南星	li nan xing	110
李卜克内西	li bu ke nei xi	213
李叔同	li shu tong	154
李可	li ke	526
李咏	li yong	292
李品仙	li pin xian	195
李响	li xiang	87
李哲	li zhe	458
李唐	li tang	415
李商隐	li shang yin	619
李善兰	li shan lan	109
李善长	li shan chang	218
李嗣源	li si yuan	946
李嘉	li jia	1370
李嘉欣	li jia xin	194
李嘉诚	li jia cheng	1100
李四光	li si guang	348
李国	li guo	2988
李国章	li guo zhang	272
李国豪	li guo hao	128
李大亮	li da liang	70
李大钊	li da zhao	1089
李威	li wei	358
李娜	li na	669
李子	li zi	2611
李子雄	li zi xiong	185
李存	li cun	1138
李存信	li cun xin	84
李存勖	li cun xu	628
李存孝	li cun xiao	124
李季	li ji	323
李宁	li ning	526
李宅	li zhai	94
李宇春	li yu chun	921
李安	li an	1582
李宗	li zong	1773
李宗仁	li zong ren	1971
李宗盛	li zong sheng	533
李宗翰	li zong han	85
李宗黄	li zong huang	57
李定国	li ding guo	483
李宝嘉	li bao jia	57
李家庄	li jia zhuang	99
李家村	li jia cun	111
李家沟	li jia gou	55
李家沱	li jia tuo	52
李家钰	li jia yu	82
李密	li mi	879
李富春	li fu chun	470
李察	li cha	1450
李寿	li shou	853
李小冉	li xiao ran	225
李小璐	li xiao lu	1208
李小龙	li xiao long	1787
李少红	li shao hong	108
李尚	li shang	529
李岚清	li lan qing	227
李崇	li chong	1137
李崧	li song	148
李嵩	li song	106
李希	li xi	1015
李希特	li xi te	188
李常	li chang	729
李平书	li ping shu	69
李广	li guang	851
李广田	li guang tian	52
李庄	li zhuang	519
李延	li yan	898
李建军	li jian jun	101
李建成	li jian cheng	580
李开先	li kai xian	51
李开复	li kai fu	122
李开芳	li kai fang	51
李强	li qiang	677
李彦	li yan	761
李彦宏	li yan hong	142
李德林	li de lin	69
李德生	li de sheng	237
李德裕	li de yu	769
李心洁	li xin jie	179
李志	li zhi	1856
李忱	li chen	104
李思	li si	1387
李恂	li xun	75
李恒	li heng	326
李恕	li shu	51
李恢	li hui	116
李恪	li ke	159
李悝	li kui	84
李惠堂	li hui tang	139
李慈铭	li ci ming	110
李慎之	li shen zhi	50
李慧	li hui	1176
李慧珍	li hui zhen	102
李成	li cheng	1446
李成桂	li cheng gui	765
李成梁	li cheng liang	223
李扬	li yang	210
李承	li cheng	2440
李振	li zhen	935
李攀龙	li pan long	65
李政道	li zheng dao	265
李敏	li min	770
李敏镐	li min hao	403
李敖	li ao	1177
李敦白	li dun bai	72
李文	li wen	3351
李文忠	li wen zhong	420
李文杰	li wen jie	57
李文田	li wen tian	80
李斌	li bin	288
李斯	li si	836
李斯特	li si te	2232
李斯特菌	li si te jun	78
李旦	li dan	433
李时珍	li shi zhen	329
李昂	li ang	441
李昌	li chang	850
李昌镐	li chang hao	270
李明	li ming	3257
李易	li yi	187
李易峰	li yi feng	1451
李春	li chun	1259
李显	li xian	1246
李晓	li xiao	941
李晓峰	li xiao feng	68
李晔	li ye	127
李晖	li hui	119
李晟	li sheng	404
李晨	li chen	552
李景	li jing	1832
李晶	li jing	188
李智	li zhi	1074
李暠	li hao	291
李暹	li xian	60
李曼	li man	289
李材	li cai	57
李林	li lin	453
李林甫	li lin fu	281
李柷	li zhu	50
李树芬	li shu fen	64
李桓	li huan	138
李桢	li zhen	74
李梦阳	li meng yang	116
李楷	li kai	102
李欧梵	li ou fan	85
李歆	li xin	141
李毓芬	li yu fen	79
李氏	li shi	5439
李民	li min	346
李永	li yong	1464
李汶	li wen	156
李沁	li qin	369
李治	li zhi	658
李泽	li ze	657
李泽言	li ze yan	378
李洪	li hong	890
李济	li ji	402
李济深	li ji shen	825
李涛	li tao	364
李淳风	li chun feng	133
李清照	li qing zhao	285
李渊	li yuan	1454
李渔	li yu	155
李湘	li xiang	267
李湛	li zhan	131
李滨	li bin	82
李炎	li yan	105
李炜	li wei	227
李炳	li bing	870
李烈钧	li lie jun	472
李焘	li tao	100
李煜	li yu	561
李牧	li mu	514
李特	li te	529
李玉	li yu	1033
李玉刚	li yu gang	216
李玉堂	li yu tang	125
李玖哲	li jiu zhe	127
李玟	li wen	697
李玲玉	li ling yu	52
李玲蔚	li ling wei	66
李琳	li lin	213
李瑛	li ying	121
李瑞清	li rui qing	85
李瑞环	li rui huan	323
李璟	li jing	620
李璧	li bi	97
李瓒	li zan	54
李登	li deng	269
李登辉	li deng hui	4481
李白	li bai	3138
李益	li yi	172
李盛铎	li sheng duo	67
李相	li xiang	606
李石曾	li shi ceng	281
李硕	li shuo	113
李硕勋	li shuo xun	64
李碧华	li bi hua	142
李磊	li lei	80
李福	li fu	1496
李秀成	li xiu cheng	369
李立三	li li san	672
李立群	li li qun	179
李红	li hong	305
李约瑟	li yue se	397
李纯	li chun	663
李纲	li gang	348
李绂	li fu	56
李绅	li shen	133
李经方	li jing fang	50
李继	li ji	1573
李续宾	li xu bin	81
李维	li wei	2769
李维汉	li wei han	383
李翊君	li yi jun	155
李翔	li xiang	372
李翰祥	li han xiang	286
李肃	li su	108
李胜	li sheng	427
李膺	li ying	217
李自成	li zi cheng	2160
李舜臣	li shun chen	479
李艳	li yan	260
李艺	li yi	111
李艺彤	li yi tong	631
李若彤	li ruo tong	97
李茂	li mao	1234
李荣	li rong	838
李荣浩	li rong hao	526
李莉	li li	107
李诫	li jie	108
李诵	li song	68
李豫	li yu	167
李贞	li zhen	450
李贤	li xian	923
李贽	li zhi	277
李轩	li xuan	208
李辉	li hui	399
李辰	li chen	73
李远哲	li yuan zhe	286
李连杰	li lian jie	481
李适	li shi	247
李遵顼	li zun xu	66
李邕	li yong	126
李重茂	li zhong mao	67
李金	li jin	722
李铁	li tie	780
李铁军	li tie jun	65
李铭	li ming	247
李铭顺	li ming shun	151
李银河	li yin he	101
李锦	li jin	607
李镇源	li zhen yuan	88
李长庚	li chang geng	77
李长春	li chang chun	265
李阳	li yang	326
李隆基	li long ji	554
李雨	li yu	318
李雪	li xue	663
李雪健	li xue jian	89
李霁	li ji	50
李霖	li lin	84
李霞	li xia	98
李青	li qing	459
李靖	li jing	766
李静	li jing	614
李顺	li shun	607
李颖	li ying	216
李香君	li xiang jun	108
李骥	li ji	71
李鸿	li hong	900
李鸿章	li hong zhang	2520
李鸿藻	li hong zao	54
李鹏	li peng	1380
李麟	li lin	139
李默庵	li mo an	114
杏	xing	7057
杏仁	xing ren	1291
杏仁茶	xing ren cha	50
杏仁豆腐	xing ren dou fu	66
杏仁露	xing ren lu	80
杏仁饼	xing ren bing	72
杏儿	xing er	723
杏南	xing nan	50
杏园	xing yuan	99
杏坛	xing tan	190
杏子	xing zi	1101
杏山	xing shan	103
杏林	xing lin	605
杏树	xing shu	339
杏核	xing he	22
杏眼	xing yan	37
杏红	xing hong	53
杏脯	xing fu	11
杏脯	xing pu	1
杏花	xing hua	962
杏花岭	xing hua ling	78
杏花村	xing hua cun	272
杏花楼	xing hua lou	120
杏黄	xing huang	95
材	cai	7210
材料	cai liao	40799
材料厂	cai liao chang	123
材质	cai zhi	4952
村	cun	238493
村上春树	cun shang chun shu	432
村上龙	cun shang long	89
村公所	cun gong suo	268
村制	cun zhi	103
村卫生室	cun wei sheng shi	53
村口	cun kou	404
村史	cun shi	54
村夫	cun fu	37
村头	cun tou	143
村始	cun shi	4
村始建	cun shi jian	3
村始建于	cun shi jian yu	4705
村姑	cun gu	566
村委会	cun wei hui	2852
村子	cun zi	2336
村学	cun xue	21
村容	cun rong	21
村寨	cun zhai	402
村庄	cun zhuang	22289
村民	cun min	10980
村民委员会	cun min wei yuan hui	440
村级	cun ji	3681
村舍	cun she	152
村落	cun luo	63738
村规民约	cun gui min yue	9
村貌	cun mao	9
村里	cun li	3627
村野	cun ye	169
村镇	cun zhen	3129
村长	cun chang	360
村长	cun zhang	2880
杓	biao	982
杓	shao	49
杓蛤	shao ge	118
杕	di	19
杕	duo	1
杖	zhang	5064
杙	yi	214
杜	du	70271
杜丽	du li	293
杜亚泉	du ya quan	68
杜仲	du zhong	186
杜佑	du you	214
杜克	du ke	2881
杜兰	du lan	2654
杜勒	du le	313
杜十娘	du shi niang	146
杜卡	du ka	437
杜叶锡恩	du ye xi en	70
杜埃	du ai	618
杜塞	du se	264
杜塞尔	du sai er	1354
杜如晦	du ru hui	126
杜威	du wei	1240
杜审言	du shen yan	53
杜宾犬	du bin quan	79
杜布	du bu	1000
杜康	du kang	225
杜德伟	du de wei	355
杜拉	du la	1917
杜拉斯	du la si	87
杜拜	du bai	2315
杜撰	du zhuan	610
杜斌	du bin	193
杜明	du ming	118
杜明礼	du ming li	269
杜江	du jiang	431
杜汶泽	du wen ze	453
杜海涛	du hai tao	259
杜淳	du chun	131
杜父鱼亚目	du fu yu ya mu	820
杜牧	du mu	383
杜琪峰	du qi feng	563
杜琼	du qiong	67
杜瓦	du wa	1173
杜甫	du fu	1349
杜省	du sheng	2700
杜绝	du jue	919
杜罗	du luo	356
杜聿明	du yu ming	610
杜莎	du sha	1264
杜袭	du xi	64
杜邦	du bang	1116
杜重远	du zhong yuan	134
杜门	du men	217
杜预	du yu	370
杜马	du ma	1990
杜鲁	du lu	1019
杜鲁门	du lu men	2139
杜鹃	du juan	2977
杜鹃花	du juan hua	2512
杞	qi	2343
杞人忧天	qi ren you tian	156
杞县	qi xian	567
杞柳	qi liu	12
束	shu	7945
束之高阁	shu zhi gao ge	62
束手	shu shou	67
束手就擒	shu shou jiu qin	84
束手待毙	shu shou dai bi	7
束手无策	shu shou wu ce	476
束手束脚	shu shou shu jiao	10
束星北	shu xing bei	78
束河	shu he	219
束缚	shu fu	4078
束腰	shu yao	502
束花	shu hua	295
束装	shu zhuang	34
束身	shu shen	37
束鹿	shu lu	183
束鹿县	shu lu xian	77
杠	gang	3101
杠上	gang shang	388
杠夫	gang fu	7
杠头	gang tou	12
杠子	gang zi	266
杠杆	gang gan	1131
杠杠	gang gang	1344
杠杠的	gang gang de	946
杠精	gang jing	808
杠铃	gang ling	471
条	tiao	134488
条令	tiao ling	291
条件	tiao jian	53126
条件反射	tiao jian fan she	141
条件变量	tiao jian bian liang	63
条件概率	tiao jian gai lv	79
条例	tiao li	20820
条凳	tiao deng	14
条分缕析	tiao fen lv xi	12
条命	tiao ming	855
条子	tiao zi	331
条幅	tiao fu	237
条形码	tiao xing ma	288
条播	tiao bo	14
条文	tiao wen	4835
条条块块	tiao tiao kuai kuai	4
条条杠杠	tiao tiao gang gang	3
条条框框	tiao tiao kuang kuang	101
条案	tiao an	23
条桌	tiao zhuo	10
条款	tiao kuan	10268
条狗	tiao gou	1322
条理	tiao li	512
条目	tiao mu	59298
条石	tiao shi	488
条约	tiao yue	44012
条纹	tiao wen	6257
条绒	tiao rong	9
条股	tiao gu	3
条股道	tiao gu dao	871
条腿	tiao tui	578
条船	tiao chuan	160
条街	tiao jie	1078
条规	tiao gui	181
条路	tiao lu	1130
条陈	tiao chen	154
条鱼	tiao yu	365
来	lai	1104538
来一个	lai yi ge	2907
来上海	lai shang hai	2690
来不及	lai bu ji	6560
来不得	lai bu de	16
来不来	lai bu lai	53
来世	lai shi	940
来个	lai ge	7393
来临	lai lin	3169
来之不易	lai zhi bu yi	347
来了	lai le	71483
来事	lai shi	125
来人	lai ren	3822
来件	lai jian	39
来使	lai shi	850
来信	lai xin	1324
来凑	lai cou	632
来凤	lai feng	159
来函	lai han	177
来到	lai dao	36618
来劲	lai jin	359
来势	lai shi	50
来势汹汹	lai shi xiong xiong	177
来北京	lai bei jing	4125
来历	lai li	2404
来历不明	lai li bu ming	244
来去	lai qu	1687
来去自由	lai qu zi you	55
来吃	lai chi	6220
来吗	lai ma	2972
来吧	lai ba	19728
来吧来	lai ba lai	52
来呀	lai ya	8225
来啊	lai a	15063
来啦	lai la	9692
来嘛	lai ma	5246
来回	lai hui	7060
来客	lai ke	413
来宾	lai bin	4237
来宾县	lai bin xian	50
来宾市	lai bin shi	301
来就	lai jiu	3767
来帮	lai bang	2235
来年	lai nian	2123
来广州	lai guang zhou	2093
来广营	lai guang ying	57
来往	lai wang	15180
来得及	lai de ji	5631
来愈	lai yu	17
来意	lai yi	131
来我们	lai wo men	4155
来我家	lai wo jia	178
来打	lai da	2656
来找	lai zhao	18505
来找你	lai zhao ni	3588
来找我	lai zhao wo	11785
来找我玩	lai zhao wo wan	23
来护儿	lai hu er	78
来接	lai jie	3386
来文	lai wen	1412
来料	lai liao	73
来日	lai ri	259
来日方长	lai ri fang chang	897
来晚	lai wan	4089
来晚了	lai wan le	685
来来去去	lai lai qu qu	188
来武汉	lai wu han	2346
来源	lai yuan	81788
来源于	lai yuan yu	8994
来潮	lai chao	109
来点	lai dian	3010
来犯	lai fan	650
来玩	lai wan	6556
来生	lai sheng	750
来由	lai you	578
来电	lai dian	2495
来的	lai de	69497
来看	lai kan	24875
来看你	lai kan ni	1611
来看我	lai kan wo	804
来看看	lai kan kan	4557
来着	lai zhe	13626
来稿	lai gao	54
来给	lai gei	5548
来给我	lai gei wo	1097
来者不拒	lai zhe bu ju	335
来自	lai zi	127724
来袭	lai xi	2821
来访	lai fang	2688
来说	lai shuo	41461
来路	lai lu	288
来过	lai guo	3473
来陪	lai pei	2086
来龙去脉	lai long qu mai	371
杧	mang	74
杨	yang	111605
杨万里	yang wan li	133
杨业	yang ye	365
杨丞琳	yang cheng lin	666
杨仙逸	yang xian yi	66
杨传广	yang chuan guang	119
杨侑	yang you	109
杨倩	yang qian	98
杨儒	yang ru	209
杨光	yang guang	856
杨光宇	yang guang yu	2034
杨克煌	yang ke huang	94
杨六郎	yang liu lang	72
杨再兴	yang zai xing	77
杨利伟	yang li wei	162
杨剑	yang jian	98
杨勇	yang yong	513
杨千嬅	yang qian hua	1892
杨千霈	yang qian pei	75
杨厝	yang cuo	142
杨哲宜	yang zhe yi	50
杨善	yang shan	340
杨国强	yang guo qiang	74
杨国忠	yang guo zhong	312
杨坚	yang jian	908
杨坤	yang kun	262
杨增新	yang zeng xin	326
杨奇清	yang qi qing	59
杨威	yang wei	168
杨子	yang zi	995
杨子姗	yang zi shan	70
杨守敬	yang shou jing	133
杨安	yang an	263
杨宗	yang zong	1008
杨家坪	yang jia ping	245
杨家山	yang jia shan	54
杨家岭	yang jia ling	77
杨家庄	yang jia zhuang	88
杨家桥	yang jia qiao	68
杨家湾	yang jia wan	92
杨小楼	yang xiao lou	96
杨小黎	yang xiao li	59
杨尚昆	yang shang kun	755
杨屋村	yang wu cun	66
杨帆	yang fan	165
杨幂	yang mi	4828
杨广	yang guang	847
杨庄	yang zhuang	248
杨庶堪	yang shu kan	103
杨延昭	yang yan zhao	103
杨廷宝	yang ting bao	157
杨开慧	yang kai hui	224
杨彪	yang biao	152
杨得志	yang de zhi	330
杨怀	yang huai	249
杨思	yang si	724
杨恭如	yang gong ru	109
杨慎	yang shen	432
杨成武	yang cheng wu	386
杨扬	yang yang	117
杨振宁	yang zhen ning	516
杨文	yang wen	1472
杨文干	yang wen gan	90
杨明	yang ming	975
杨昱	yang yu	122
杨晋	yang jin	59
杨朔	yang shuo	50
杨木	yang mu	98
杨松	yang song	274
杨林	yang lin	388
杨柳	yang liu	1135
杨柳青	yang liu qing	229
杨树	yang shu	879
杨树庄	yang shu zhuang	150
杨树浦路	yang shu pu lu	102
杨树达	yang shu da	87
杨根思	yang gen si	69
杨桃	yang tao	370
杨桓	yang huan	56
杨梅	yang mei	3356
杨森	yang sen	846
杨欣	yang xin	109
杨武之	yang wu zhi	53
杨毅	yang yi	132
杨氏	yang shi	2540
杨永强	yang yong qiang	78
杨永明	yang yong ming	62
杨沛	yang pei	81
杨沫	yang mo	76
杨洁	yang jie	555
杨洋	yang yang	1943
杨洪	yang hong	275
杨浦	yang pu	1170
杨浦大桥	yang pu da qiao	56
杨淇	yang qi	83
杨深秀	yang shen xiu	56
杨溥	yang pu	381
杨潮	yang chao	108
杨澄	yang cheng	149
杨澜	yang lan	146
杨炎	yang yan	151
杨炯	yang jiong	81
杨爽	yang shuang	53
杨瓒	yang zan	65
杨白冰	yang bai bing	69
杨石先	yang shi xian	52
杨秀峰	yang xiu feng	118
杨秀清	yang xiu qing	220
杨秋	yang qiu	384
杨素	yang su	597
杨紫	yang zi	628
杨紫琼	yang zi qiong	287
杨绛	yang jiang	1041
杨继昌	yang ji chang	62
杨继盛	yang ji sheng	97
杨维	yang wei	378
杨致远	yang zhi yuan	55
杨虎城	yang hu cheng	805
杨行密	yang xing mi	838
杨贵妃	yang gui fei	720
杨辉	yang hui	197
杨过	yang guo	1401
杨采妮	yang cai ni	196
杨钟羲	yang zhong xi	90
杨钰莹	yang yu ying	133
杨锐	yang rui	157
杨镇	yang zhen	257
杨镐	yang hao	162
杨阳	yang yang	151
杨陵	yang ling	132
杨雪	yang xue	268
杨震	yang zhen	278
杨靖宇	yang jing yu	365
杨静仁	yang jing ren	85
